City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Marsh Harbour,BS,84.36,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
7,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
16,Butaritari,KI,80.92,light rain,3.0707,172.7902,Isles Sunset Lodge
18,Samarai,PG,80.4,clear sky,-10.6167,150.6667,Nuli Sapi
22,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
30,Shwebo,MM,82.47,scattered clouds,22.5667,95.7,MOON SHINE Guest House
39,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
46,Fayaoue,NC,75.4,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
54,Bubaque,GW,78.8,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
56,Itarema,BR,80.6,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
59,Mahon,ES,81.16,few clouds,39.8885,4.2658,ARTIEM Capri
60,Jamestown,US,82.18,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
61,Kerema,PG,76.68,broken clouds,-7.9631,145.7785,Frena Lodge
65,Hithadhoo,MV,81.09,scattered clouds,-0.6,73.0833,Scoop Guest House
72,Viedma,AR,76.93,clear sky,-40.8135,-62.9967,Hotel Cristal
73,Alamosa,US,76.98,clear sky,37.4695,-105.87,Best Western Alamosa Inn
78,Broome,US,82.45,few clouds,42.2506,-75.833,Chenango Valley State Park
82,Kahului,US,84.22,light rain,20.8947,-156.47,Maui Seaside Hotel
84,Palmer,US,82.06,broken clouds,42.1584,-72.3287,Wedgewood Motel
91,Ratnagiri,IN,79.14,broken clouds,16.9833,73.3,Hotel Landmark
93,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
98,Sao Jose Da Coroa Grande,BR,76.06,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
103,Nouadhibou,MR,82.38,broken clouds,20.931,-17.0347,El Medina
106,Katsuura,JP,76.6,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
