City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Taltal,CL,2022-09-03 18:11:20,-25.4,-70.4833,66.67,53,8,4.9
1,Kapaa,US,2022-09-03 18:11:20,22.0752,-159.319,81.1,79,100,14.97
2,Srednekolymsk,RU,2022-09-03 18:11:21,67.45,153.6833,33.33,84,100,7.02
3,Albany,US,2022-09-03 18:11:21,42.6001,-73.9662,82.38,54,96,3.0
4,Qaanaaq,GL,2022-09-03 18:11:22,77.484,-69.3632,38.53,98,100,10.0
5,Bluff,NZ,2022-09-03 18:11:22,-46.6,168.3333,41.81,77,87,38.12
6,Ushuaia,AR,2022-09-03 18:11:22,-54.8,-68.3,37.06,93,100,6.91
7,Kibre Mengist,ET,2022-09-03 18:11:23,5.8833,38.9833,62.37,75,99,3.24
8,Nichinan,JP,2022-09-03 18:11:23,31.6,131.3667,77.13,86,100,5.23
9,Tiverton,GB,2022-09-03 18:11:23,50.9,-3.4833,65.05,92,75,9.22
10,Longyearbyen,SJ,2022-09-03 18:11:24,78.2186,15.6401,46.24,87,75,16.11
11,Barrow,US,2022-09-03 18:11:24,71.2906,-156.7887,39.22,93,100,9.22
12,Makakilo City,US,2022-09-03 18:11:24,21.3469,-158.0858,79.12,78,40,8.05
13,Promyshlennyy,RU,2022-09-03 18:11:25,67.5833,63.9167,39.33,94,100,15.97
14,Aklavik,CA,2022-09-03 18:11:25,68.2191,-135.0107,53.6,87,100,10.36
15,Goderich,CA,2022-09-03 18:11:25,43.7501,-81.7165,77.32,73,1,9.22
16,Luau,AO,2022-09-03 18:11:26,-10.7073,22.2247,79.52,35,95,7.27
17,New Richmond,US,2022-09-03 18:11:26,45.123,-92.5366,75.7,58,0,4.61
18,Punta Arenas,CL,2022-09-03 18:11:27,-53.15,-70.9167,48.31,61,40,23.02
19,Salalah,OM,2022-09-03 18:11:27,17.0151,54.0924,78.89,83,100,6.91
20,Corn Island,NI,2022-09-03 18:11:27,12.1694,-83.0418,82.65,74,96,11.01
21,Husavik,IS,2022-09-03 18:11:28,66.0449,-17.3389,50.52,91,100,4.56
22,Saint George,US,2022-09-03 18:10:58,37.1041,-113.5841,98.44,21,0,3.0
23,Maibong,IN,2022-09-03 18:11:28,25.3,93.1667,74.12,99,66,4.32
24,Port-Gentil,GA,2022-09-03 18:11:29,-0.7193,8.7815,76.96,83,100,10.36
25,Cidreira,BR,2022-09-03 18:11:29,-30.1811,-50.2056,56.68,65,21,16.17
26,Vao,NC,2022-09-03 18:11:29,-22.6667,167.4833,72.88,73,78,16.33
27,Hermosillo,MX,2022-09-03 18:07:28,29.0667,-110.9667,87.71,72,100,3.44
28,Gigmoto,PH,2022-09-03 18:11:30,13.7796,124.39,81.39,86,100,8.32
29,Castro,BR,2022-09-03 18:11:30,-24.7911,-50.0119,59.31,95,99,3.49
30,Mar Del Plata,AR,2022-09-03 18:08:17,-38.0023,-57.5575,66.22,37,0,17.27
31,Veraval,IN,2022-09-03 18:11:31,20.9,70.3667,81.16,83,94,9.17
32,Tasiilaq,GL,2022-09-03 18:11:31,65.6145,-37.6368,41.16,73,99,9.48
33,Tuktoyaktuk,CA,2022-09-03 18:11:31,69.4541,-133.0374,55.4,76,75,9.22
34,Beisfjord,NO,2022-09-03 18:11:32,68.3751,17.5988,48.25,81,12,4.92
35,Madimba,TZ,2022-09-03 18:11:32,-10.4,40.3333,71.22,86,29,9.95
36,Onega,RU,2022-09-03 18:11:32,63.9061,38.1404,46.72,90,100,10.94
37,Mataura,NZ,2022-09-03 18:11:33,-46.1927,168.8643,41.49,91,96,13.38
38,Puerto Ayora,EC,2022-09-03 18:11:33,-0.7393,-90.3518,73.36,88,99,7.0
39,Pinotepa Nacional,MX,2022-09-03 18:11:34,16.3167,-98.0167,86.09,68,99,3.38
40,Iquitos,PE,2022-09-03 18:11:34,-3.7481,-73.2472,91.44,62,40,5.75
41,Hilo,US,2022-09-03 18:09:03,19.7297,-155.09,83.28,89,75,4.0
42,Hermanus,ZA,2022-09-03 18:11:34,-34.4187,19.2345,54.81,80,2,12.28
43,Tual,ID,2022-09-03 18:07:18,-5.6667,132.75,80.91,80,80,19.08
44,Pangody,RU,2022-09-03 18:11:35,65.85,74.4859,48.43,95,100,11.88
45,Rikitea,PF,2022-09-03 18:11:35,-23.1203,-134.9692,70.25,69,93,25.19
46,Mitsamiouli,KM,2022-09-03 18:11:36,-11.3847,43.2844,75.27,77,29,6.51
47,Souillac,MU,2022-09-03 18:11:36,-20.5167,57.5167,71.98,78,75,9.22
